u,v,w
96,95,0.117208
96,71,0.169744
97,98,0.580902
97,122,0.320950
97,96,0.306219
97,72,0.471528
98,99,0.279563
98,123,0.068015
98,97,0.580902
98,73,0.211212
99,124,0.032662
99,98,0.279563
99,74,0.019428
100,101,0.077490
100,125,0.340262
100,75,0.240974
101,102,0.254066
101,126,0.265628
101,100,0.077490
101,76,0.163257
102,103,0.122901
102,127,0.034700
102,101,0.254066
102,77,0.128304
103,104,0.012082
103,128,0.063615
103,102,0.122901
103,78,0.135431
104,105,0.040977
104,129,0.101752
104,103,0.012082
104,79,0.272423
105,106,0.030358
105,130,0.041086
105,104,0.040977
105,80,0.296485
106,107,0.242976
106,131,0.047914
106,105,0.030358
106,81,0.236044
107,108,0.271067
107,132,0.262491
107,106,0.242976
107,82,0.178061
108,109,0.108832
108,133,0.086507
108,107,0.271067
108,83,0.106532
109,110,0.076974
109,134,0.119699
109,108,0.108832
109,84,0.057551
110,111,0.152420
110,135,0.192254
110,109,0.076974
110,85,0.186150
111,112,0.272381
111,136,0.044942
111,110,0.152420
111,86,0.114135
112,113,0.481629
112,137,0.239873
112,111,0.272381
112,87,0.197716
113,114,0.102127
113,138,0.165770
113,112,0.481629
113,88,0.098078
114,115,0.167825
114,139,0.142878
114,113,0.102127
114,89,0.018693
115,116,0.136983
115,140,0.143888
115,114,0.167825
115,90,0.353527
116,117,0.318022
116,141,0.171901
116,115,0.136983
116,91,0.578545
117,118,0.068356
117,142,0.212732
117,116,0.318022
117,92,0.565310
118,119,0.080822
118,143,0.172135
118,117,0.068356
118,93,0.649746
119,120,0.008023
119,144,0.068722
119,118,0.080822
119,94,0.533752
120,121,0.287234
120,145,0.269457
120,119,0.008023
120,95,0.511123
121,122,0.075872
121,146,0.247577
121,120,0.287234
121,96,0.644931
122,123,0.832996
122,147,0.149815
122,121,0.075872
122,97,0.320950
123,124,0.316970
123,148,0.242777
123,122,0.832996
123,98,0.068015
124,149,0.120523
124,123,0.316970
124,99,0.032662
125,126,0.014128
125,150,0.354445
125,100,0.340262
126,127,0.027437
126,151,0.287092
126,125,0.014128
126,101,0.265628
127,128,0.066356
127,152,0.118177
127,126,0.027437
127,102,0.034700
128,129,0.089198
128,153,0.185879
128,127,0.066356
128,103,0.063615
129,130,0.085672
129,154,0.310309
129,128,0.089198
129,104,0.101752
130,131,0.058232
130,155,0.150499
130,129,0.085672
130,105,0.041086
131,132,0.455547
131,156,0.206212
131,130,0.058232
131,106,0.047914
132,133,0.169267
132,157,0.140962
132,131,0.455547
132,107,0.262491
133,134,0.222368
133,158,0.401839
133,132,0.169267
133,108,0.086507
134,135,0.004184
134,159,0.439609
134,133,0.222368
134,109,0.119699
135,136,0.027436
135,160,0.428740
135,134,0.004184
135,110,0.192254
136,137,0.035374
136,161,0.396573
136,135,0.027436
136,111,0.044942
137,138,0.543310
137,162,0.142713
137,136,0.035374
137,112,0.239873
138,139,0.180214
138,163,0.381360
138,137,0.543310
138,113,0.165770
139,140,0.155419
139,164,0.307626
139,138,0.180214
139,114,0.142878
140,141,0.146942
140,165,0.260377
140,139,0.155419
140,115,0.143888
141,142,0.068231
141,166,0.235980
141,140,0.146942
141,116,0.171901
142,143,0.056519
142,167,0.135197
142,141,0.068231
142,117,0.212732
143,144,0.162220
143,168,0.080723
143,142,0.056519
143,118,0.172135
144,145,0.216645
144,169,0.187362
144,143,0.162220
144,119,0.068722
145,146,0.264073
145,170,0.176640
145,144,0.216645
145,120,0.269457
146,147,0.400589
146,171,0.313819
146,145,0.264073
146,121,0.247577
147,148,0.458628
147,172,0.207348
147,146,0.400589
147,122,0.149815
148,149,0.440636
148,173,0.439007
148,147,0.458628
148,123,0.242777
149,174,0.196991
149,148,0.440636
149,124,0.120523
150,151,0.083452
150,175,0.208039
150,125,0.354445
151,152,0.231457
151,176,0.256091
151,150,0.083452
151,126,0.287092
152,153,0.173450
152,177,0.301929
152,151,0.231457
152,127,0.118177
153,154,0.225542
153,178,0.123800
153,152,0.173450
153,128,0.185879
154,155,0.276770
154,179,0.026579
154,153,0.225542
154,129,0.310309
155,156,0.172117
155,180,0.027346
155,154,0.276770
155,130,0.150499
156,157,0.358831
156,181,0.272750
156,155,0.172117
156,131,0.206212
157,158,0.488543
157,182,0.278735
157,156,0.358831
157,132,0.140962
158,159,0.259269
158,183,0.279633
158,157,0.488543
158,133,0.401839
159,160,0.011884
159,184,0.085646
159,158,0.259269
159,134,0.439609
160,161,0.059645
160,185,0.101067
160,159,0.011884
160,135,0.428740
161,162,0.235338
161,186,0.157136
161,160,0.059645
161,136,0.396573
162,163,0.118395
162,187,0.298010
162,161,0.235338
162,137,0.142713
163,164,0.348560
163,188,0.079260
163,162,0.118395
163,138,0.381360
164,165,0.108269
164,189,0.130381
164,163,0.348560
164,139,0.307626
165,166,0.118171
165,190,0.240042
165,164,0.108269
